,area_type,availability,location,total_sqft,bath,balcony,price,BHK
1,Super built-up  Area,Ready To Move,1st Phase JP Nagar,1875.0,3.0,1.0,167.0,3
2,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2065.0,4.0,1.0,210.0,3
3,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2059.0,3.0,2.0,225.0,3
4,Super built-up  Area,Ready To Move,1st Phase JP Nagar,1394.0,2.0,1.0,100.0,2
5,Super built-up  Area,Not Ready to Move Yet,1st Phase JP Nagar,1077.0,2.0,2.0,93.0,2
6,Plot  Area,Ready To Move,1st Phase JP Nagar,1566.0,2.0,0.0,180.0,2
7,Built-up  Area,Ready To Move,1st Phase JP Nagar,840.0,2.0,2.0,50.0,1
8,Super built-up  Area,Not Ready to Move Yet,1st Phase JP Nagar,1590.0,3.0,3.0,131.0,3
9,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2180.0,3.0,2.0,210.0,3
10,Super built-up  Area,Ready To Move,1st Phase JP Nagar,1180.0,2.0,2.0,88.5,2
11,Built-up  Area,Ready To Move,1st Phase JP Nagar,1394.0,2.0,2.0,85.0,2
12,Super built-up  Area,Not Ready to Move Yet,1st Phase JP Nagar,2077.0,3.0,3.0,175.0,3
13,Super built-up  Area,Ready To Move,1st Phase JP Nagar,1205.0,2.0,1.0,85.0,2
15,Super built-up  Area,Ready To Move,1st Phase JP Nagar,900.0,2.0,1.0,75.0,2
16,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1500.0,4.0,2.0,220.0,4
19,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1200.0,4.0,2.0,245.0,4
20,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1350.0,4.0,1.0,200.0,4
21,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5
22,Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,600.0,3.0,1.0,95.0,4
23,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,600.0,4.0,2.0,100.0,3
24,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1200.0,4.0,1.0,225.0,4
25,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,600.0,4.0,2.0,125.0,4
26,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5
27,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5
28,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1200.0,4.0,2.0,240.0,5
29,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5
